text,register
καρπαλίμως δὲ τὰ μῆλα ταναύποδα πίονα δημῷ πολλὰ περιτροπέοντες ἐλαύνομεν ὄφρ’ ἐπὶ νῆα ἱκόμεθ’,speech
ἀσπάσιοι δὲ φίλοις ἑτάροισι φάνημεν οἳ φύγομεν θάνατον τοὺς δὲ στενάχοντο γοῶντες,speech
ἀλλ’ ἐγὼ οὐκ εἴων ἀνὰ δ’ ὀφρύσι νεῦον ἑκάστῳ κλαίειν ἀλλ’ ἐκέλευσα θοῶς καλλίτριχα μῆλα πόλλ’ ἐν νηὶ βαλόντας ἐπιπλεῖν ἁλμυρὸν ὕδωρ,speech
οἱ δ’ αἶψ’ εἴσβαινον καὶ ἐπὶ κληῖσι καθῖζον ἑξῆς δ’ ἑζόμενοι πολιὴν ἅλα τύπτον ἐρετμοῖς,speech
ἀλλ’ ὅτε τόσσον ἀπῆν ὅσσον τε γέγωνε βοήσας καὶ τότ’ ἐγὼ Κύκλωπα προσηύδων κερτομίοισι,speech
Κύκλωψ οὐκ ἄρ’ ἔμελλες ἀνάλκιδος ἀνδρὸς ἑταίρους ἔδμεναι ἐν σπῆι γλαφυρῷ κρατερῆφι βίηφι,speech
καὶ λίην σέ γ’ ἔμελλε κιχήσεσθαι κακὰ ἔργα σχέτλι’ ἐπεὶ ξείνους οὐχ ἅζεο σῷ ἐνὶ οἴκῳ ἐσθέμεναι,speech
τῷ σε Ζεὺς τίσατο καὶ θεοὶ ἄλλοι,speech
ὣς ἐφάμην ὁ δ’ ἔπειτα χολώσατο κηρόθι μᾶλλον ἧκε δ’ ἀπορρήξας κορυφὴν ὄρεος μεγάλοιο κὰδ δ’ ἔβαλε προπάροιθε νεὸς κυανοπρῴροιο τυτθόν ἐδεύησεν δ’ οἰήιον ἄκρον ἱκέσθαι ἐκλύσθη δὲ θάλασσα κατερχομένης ὑπὸ πέτρης,speech
τὴν δ’ αἶψ’ ἤπειρόνδε παλιρρόθιον φέρε κῦμα πλημυρὶς ἐκ πόντοιο θέμωσε δὲ χέρσον ἱκέσθαι,speech
αὐτὰρ ἐγὼ χείρεσσι λαβὼν περιμήκεα κοντὸν ὦσα παρέξ ἑτάροισι δ’ ἐποτρύνας ἐκέλευσα ἐμβαλέειν κώπῃς ἵν’ ὑπὲκ κακότητα φύγοιμεν κρατὶ κατανεύων,speech
οἱ δὲ προπεσόντες ἔρεσσον,speech
ἀλλ’ ὅτε δὴ δὶς τόσσον ἅλα πρήσσοντες ἀπῆμεν καὶ τότε δὴ Κύκλωπα προσηύδων,speech
ἀμφὶ δ’ ἑταῖροι μειλιχίοις ἐπέεσσιν ἐρήτυον ἄλλοθεν ἄλλος,speech
σχέτλιε τίπτ’ ἐθέλεις ἐρεθιζέμεν ἄγριον ἄνδρα,speech
ὃς καὶ νῦν πόντονδε βαλὼν βέλος ἤγαγε νῆα αὖτις ἐς ἤπειρον καὶ δὴ φάμεν αὐτόθ’ ὀλέσθαι,speech
εἰ δὲ φθεγξαμένου τευ ἢ αὐδήσαντος ἄκουσε σύν κεν ἄραξ’ ἡμέων κεφαλὰς καὶ νήια δοῦρα μαρμάρῳ ὀκριόεντι βαλών,speech
τόσσον γὰρ ἵησιν,speech
ὣς φάσαν ἀλλ’ οὐ πεῖθον ἐμὸν μεγαλήτορα θυμόν ἀλλά μιν ἄψορρον προσέφην κεκοτηότι θυμῷ,speech
Κύκλωψ αἴ κέν τίς σε καταθνητῶν ἀνθρώπων ὀφθαλμοῦ εἴρηται ἀεικελίην ἀλαωτύν φάσθαι Ὀδυσσῆα πτολιπόρθιον ἐξαλαῶσαι υἱὸν Λαέρτεω Ἰθάκῃ ἔνι οἰκί’ ἔχοντα,speech
ὣς ἐφάμην ὁ δέ μ’ οἰμώξας ἠμείβετο μύθῳ,speech
ὢ πόποι ἦ μάλα δή με παλαίφατα θέσφαθ’ ἱκάνει,speech
ἔσκε τις ἐνθάδε μάντις ἀνὴρ ἠύς τε μέγας τε Τήλεμος Εὐρυμίδης ὃς μαντοσύνῃ ἐκέκαστο καὶ μαντευόμενος κατεγήρα Κυκλώπεσσιν,speech
ὅς μοι ἔφη τάδε πάντα τελευτήσεσθαι ὀπίσσω χειρῶν ἐξ Ὀδυσῆος ἁμαρτήσεσθαι ὀπωπῆς,speech
ἀλλ’ αἰεί τινα φῶτα μέγαν καὶ καλὸν ἐδέγμην ἐνθάδ’ ἐλεύσεσθαι μεγάλην ἐπιειμένον ἀλκήν,speech
νῦν δέ μ’ ἐὼν ὀλίγος τε καὶ οὐτιδανὸς καὶ ἄκικυς ὀφθαλμοῦ ἀλάωσεν ἐπεί μ’ ἐδαμάσσατο οἴνῳ,speech
ἀλλ’ ἄγε δεῦρ’ Ὀδυσεῦ ἵνα τοι πὰρ ξείνια θείω πομπήν τ’ ὀτρύνω δόμεναι κλυτὸν ἐννοσίγαιον,speech
τοῦ γὰρ ἐγὼ πάϊς εἰμί πατὴρ δ’ ἐμὸς εὔχεται εἶναι,speech
αὐτὸς δ’ αἴ κ’ ἐθέλῃσ’ ἰήσεται οὐδέ τις ἄλλος οὔτε θεῶν μακάρων οὔτε θνητῶν ἀνθρώπων,speech
ὣς ἔφατ’ αὐτὰρ ἐγώ μιν ἀμειβόμενος προσέειπον,speech
αἲ γὰρ δὴ ψυχῆς τε καὶ αἰῶνός σε δυναίμην εὖνιν ποιήσας πέμψαι δόμον Ἄϊδος εἴσω ὡς οὐκ ὀφθαλμόν γ’ ἰήσεται οὐδ’ ἐνοσίχθων,speech
ὣς ἐφάμην ὁ δ’ ἔπειτα Ποσειδάωνι ἄνακτι εὔχετο χεῖρ’ ὀρέγων εἰς οὐρανὸν ἀστερόεντα,speech
κλῦθι Ποσείδαον γαιήοχε κυανοχαῖτα εἰ ἐτεόν γε σός εἰμι πατὴρ δ’ ἐμὸς εὔχεαι εἶναι δὸς μὴ Ὀδυσσῆα πτολιπόρθιον οἴκαδ’ ἱκέσθαι υἱὸν Λαέρτεω Ἰθάκῃ ἔνι οἰκί’ ἔχοντα,speech
"ἀλλ’ εἴ οἱ μοῖρ’ ἐστὶ φίλους τ’ ἰδέειν καὶ ἱκέσθαι οἶκον ἐυκτίμενον καὶ ἑὴν ἐς πατρίδα γαῖαν , ὀψὲ κακῶς ἔλθοι ὀλέσας ἄπο πάντας ἑταίρους νηὸς ἐπ’ ἀλλοτρίης εὕροι δ’ ἐν πήματα οἴκῳ",speech
ὣς ἔφατ’ εὐχόμενος τοῦ δ’ ἔκλυε κυανοχαίτης,speech
αὐτὰρ ὅ γ’ ἐξαῦτις πολὺ μείζονα λᾶαν ἀείρας ἧκ’ ἐπιδινήσας ἐπέρεισε δὲ ἶν’ ἀπέλεθρον κὰδ’ δ’ ἔβαλεν μετόπισθε νεὸς κυανοπρῴροιο τυτθόν ἐδεύησεν δ’ οἰήιον ἄκρον ἱκέσθαι,speech
ἐκλύσθη δὲ θάλασσα κατερχομένης ὑπὸ πέτρης,speech
τὴν δὲ πρόσω φέρε κῦμα θέμωσε δὲ χέρσον ἱκέσθαι,speech
ἀλλ’ ὅτε δὴ τὴν νῆσον ἀφικόμεθ’ ἔνθα περ ἄλλαι νῆες ἐύσσελμοι μένον ἁθρόαι ἀμφὶ δ’ ἑταῖροι ἥατ’ ὀδυρόμενοι ἡμέας ποτιδέγμενοι αἰεί νῆα μὲν ἔνθ’ ἐλθόντες ἐκέλσαμεν ἐν ψαμάθοισιν ἐκ δὲ καὶ αὐτοὶ βῆμεν ἐπὶ ῥηγμῖνι θαλάσσης,speech
μῆλα δὲ Κύκλωπος γλαφυρῆς ἐκ νηὸς ἑλόντες δασσάμεθ’ ὡς μή τίς μοι ἀτεμβόμενος κίοι ἴσης,speech
ἀρνειὸν δ’ ἐμοὶ οἴῳ ἐυκνήμιδες ἑταῖροι μήλων δαιομένων δόσαν ἔξοχα,speech
τὸν δ’ ἐπὶ θινὶ Ζηνὶ κελαινεφέι Κρονίδῃ ὃς πᾶσιν ἀνάσσει ῥέξας μηρί’ ἔκαιον,speech
ὁ δ’ οὐκ ἐμπάζετο ἱρῶν ἀλλ’ ὅ γε μερμήριξεν ὅπως ἀπολοίατο πᾶσαι νῆες ἐύσσελμοι καὶ ἐμοὶ ἐρίηρες ἑταῖροι,speech
ὣς τότε μὲν πρόπαν ἦμαρ ἐς ἠέλιον καταδύντα ἥμεθα δαινύμενοι κρέα τ’ ἄσπετα καὶ μέθυ ἡδύ,speech
ἦμος δ’ ἠέλιος κατέδυ καὶ ἐπὶ κνέφας ἦλθε δὴ τότε κοιμήθημεν ἐπὶ ῥηγμῖνι θαλάσσης,speech
ἦμος δ’ ἠριγένεια φάνη ῥοδοδάκτυλος Ἠώς δὴ τότ’ ἐγὼν ἑτάροισιν ἐποτρύνας ἐκέλευσα αὐτούς τ’ ἀμβαίνειν ἀνά τε πρυμνήσια λῦσαι,speech
οἱ δ’ αἶψ’ εἴσβαινον καὶ ἐπὶ κληῖσι καθῖζον ἑξῆς δ’ ἑζόμενοι πολιὴν ἅλα τύπτον ἐρετμοῖς,speech
ἔνθεν δὲ προτέρω πλέομεν ἀκαχήμενοι ἦτορ ἄσμενοι ἐκ θανάτοιο φίλους ὀλέσαντες ἑταίρους,speech
Αἰολίην δ’ ἐς νῆσον ἀφικόμεθ’,speech
ἔνθα δ’ ἔναιεν Αἴολος Ἱπποτάδης φίλος ἀθανάτοισι θεοῖσιν πλωτῇ ἐνὶ νήσῳ,speech
πᾶσαν δέ τέ μιν πέρι τεῖχος χάλκεον ἄρρηκτον λισσὴ δ’ ἀναδέδρομε πέτρη,speech
τοῦ καὶ δώδεκα παῖδες ἐνὶ μεγάροις γεγάασιν ἓξ μὲν θυγατέρες ἓξ δ’ υἱέες ἡβώοντες,speech
ἔνθ’ ὅ γε θυγατέρας πόρεν υἱάσιν εἶναι ἀκοίτις,speech
οἱ δ’ αἰεὶ παρὰ πατρὶ φίλῳ καὶ μητέρι κεδνῇ δαίνυνται παρὰ δέ σφιν ὀνείατα μυρία κεῖται κνισῆεν δέ τε δῶμα περιστεναχίζεται αὐλῇ ἤματα,speech
νύκτας δ’ αὖτε παρ’ αἰδοίῃς ἀλόχοισιν εὕδουσ’ ἔν τε τάπησι καὶ ἐν τρητοῖσι λέχεσσι,speech
καὶ μὲν τῶν ἱκόμεσθα πόλιν καὶ δώματα καλά,speech
μῆνα δὲ πάντα φίλει με καὶ ἐξερέεινεν ἕκαστα Ἴλιον Ἀργείων τε νέας καὶ νόστον Ἀχαιῶν,speech
καὶ μὲν ἐγὼ τῷ πάντα κατὰ μοῖραν κατέλεξα,speech
ἀλλ’ ὅτε δὴ καὶ ἐγὼν ὁδὸν ᾔτεον ἠδ’ ἐκέλευον πεμπέμεν οὐδέ τι κεῖνος ἀνήνατο τεῦχε δὲ πομπήν,speech
δῶκε δέ μ’ ἐκδείρας ἀσκὸν βοὸς ἐννεώροιο ἔνθα δὲ βυκτάων ἀνέμων κατέδησε κέλευθα,speech
κεῖνον γὰρ ταμίην ἀνέμων ποίησε Κρονίων ἠμὲν παυέμεναι ἠδ’ ὀρνύμεν ὅν κ’ ἐθέλῃσι,speech
νηὶ δ’ ἐνὶ γλαφυρῇ κατέδει μέρμιθι φαεινῇ ἀργυρέῃ ἵνα μή τι παραπνεύσῃ ὀλίγον περ,speech
αὐτὰρ ἐμοὶ πνοιὴν Ζεφύρου προέηκεν ἀῆναι ὄφρα φέροι νῆάς τε καὶ αὐτούς,speech
οὐδ’ ἄρ’ ἔμελλεν ἐκτελέειν,speech
αὐτῶν γὰρ ἀπωλόμεθ’ ἀφραδίῃσιν,speech
ἐννῆμαρ μὲν ὁμῶς πλέομεν νύκτας τε καὶ ἦμαρ τῇ δεκάτῃ δ’ ἤδη ἀνεφαίνετο πατρὶς ἄρουρα καὶ δὴ πυρπολέοντας ἐλεύσσομεν ἐγγὺς ἐόντες,speech
ἔνθ’ ἐμὲ μὲν γλυκὺς ὕπνος ἐπήλυθε κεκμηῶτα αἰεὶ γὰρ πόδα νηὸς ἐνώμων οὐδέ τῳ ἄλλῳ δῶχ’ ἑτάρων ἵνα θᾶσσον ἱκοίμεθα πατρίδα γαῖαν,speech
οἱ δ’ ἕταροι ἐπέεσσι πρὸς ἀλλήλους ἀγόρευον καί μ’ ἔφασαν χρυσόν τε καὶ ἄργυρον οἴκαδ’ ἄγεσθαι δῶρα παρ’ Αἰόλου μεγαλήτορος Ἱπποτάδαο,speech
ὧδε δέ τις εἴπεσκεν ἰδὼν ἐς πλησίον ἄλλον,speech
ὦ πόποι ὡς ὅδε πᾶσι φίλος καὶ τίμιός ἐστιν ἀνθρώποις ὅτεών τε πόλιν καὶ γαῖαν ἵκηται,speech
πολλὰ μὲν ἐκ Τροίης ἄγεται κειμήλια καλὰ ληίδος ἡμεῖς δ’ αὖτε ὁμὴν ὁδὸν ἐκτελέσαντες οἴκαδε νισσόμεθα κενεὰς σὺν χεῖρας ἔχοντες,speech
καὶ νῦν οἱ τάδ’ ἔδωκε χαριζόμενος φιλότητι Αἴολος,speech
ἀλλ’ ἄγε θᾶσσον ἰδώμεθα ὅττι τάδ’ ἐστίν ὅσσος τις χρυσός τε καὶ ἄργυρος ἀσκῷ ἔνεστιν,speech
ὣς ἔφασαν βουλὴ δὲ κακὴ νίκησεν ἑταίρων,speech
ἀσκὸν μὲν λῦσαν ἄνεμοι δ’ ἐκ πάντες ὄρουσαν,speech
τοὺς δ’ αἶψ’ ἁρπάξασα φέρεν πόντονδε θύελλα κλαίοντας γαίης ἄπο πατρίδος,speech
αὐτὰρ ἐγώ γε ἐγρόμενος κατὰ θυμὸν ἀμύμονα μερμήριξα ἠὲ πεσὼν ἐκ νηὸς ἀποφθίμην ἐνὶ πόντῳ ἦ ἀκέων τλαίην καὶ ἔτι ζωοῖσι μετείην,speech
ἀλλ’ ἔτλην καὶ ἔμεινα καλυψάμενος δ’ ἐνὶ νηὶ κείμην,speech
αἱ δ’ ἐφέροντο κακῇ ἀνέμοιο θυέλλῃ αὖτις ἐπ’ Αἰολίην νῆσον στενάχοντο δ’ ἑταῖροι,speech
ἔνθα δ’ ἐπ’ ἠπείρου βῆμεν καὶ ἀφυσσάμεθ’ ὕδωρ αἶψα δὲ δεῖπνον ἕλοντο θοῇς παρὰ νηυσὶν ἑταῖροι,speech
αὐτὰρ ἐπεὶ σίτοιό τ’ ἐπασσάμεθ’ ἠδὲ ποτῆτος δὴ τότ’ ἐγὼ κήρυκά τ’ ὀπασσάμενος καὶ ἑταῖρον βῆν εἰς Αἰόλου κλυτὰ δώματα,speech
τὸν δ’ ἐκίχανον δαινύμενον παρὰ ᾗ τ’ ἀλόχῳ καὶ οἷσι τέκεσσιν,speech
ἐλθόντες δ’ ἐς δῶμα παρὰ σταθμοῖσιν ἐπ’ οὐδοῦ ἑζόμεθ’,speech
οἱ δ’ ἀνὰ θυμὸν ἐθάμβεον ἔκ τ’ ἐρέοντο,speech
πῶς ἦλθες Ὀδυσεῦ,speech
τίς τοι κακὸς ἔχραε δαίμων,speech
ἦ μέν σ’ ἐνδυκέως ἀπεπέμπομεν ὄφρ’ ἀφίκοιο πατρίδα σὴν καὶ δῶμα καὶ εἴ πού τοι φίλον ἐστίν,speech
ὣς φάσαν αὐτὰρ ἐγὼ μετεφώνεον ἀχνύμενος κῆρ,speech
ἄασάν μ’ ἕταροί τε κακοὶ πρὸς τοῖσί τε ὕπνος σχέτλιος,speech
ἀλλ’ ἀκέσασθε φίλοι,speech
δύναμις γὰρ ἐν ὑμῖν,speech
ὣς ἐφάμην μαλακοῖσι καθαπτόμενος ἐπέεσσιν οἱ δ’ ἄνεῳ ἐγένοντο,speech
πατὴρ δ’ ἠμείβετο μύθῳ,speech
ἔρρ’ ἐκ νήσου θᾶσσον ἐλέγχιστε ζωόντων,speech
οὐ γάρ μοι θέμις ἐστὶ κομιζέμεν οὐδ’ ἀποπέμπειν ἄνδρα τόν ὅς κε θεοῖσιν ἀπέχθηται μακάρεσσιν,speech
ἔρρε ἐπεὶ ἄρα θεοῖσιν ἀπεχθόμενος τόδ’ ἱκάνεις,speech
ὣς εἰπὼν ἀπέπεμπε δόμων βαρέα στενάχοντα,speech
ἔνθεν δὲ προτέρω πλέομεν ἀκαχήμενοι ἦτορ,speech
τείρετο δ’ ἀνδρῶν θυμὸς ὑπ’ εἰρεσίης ἀλεγεινῆς ἡμετέρῃ ματίῃ ἐπεὶ οὐκέτι φαίνετο πομπή,speech
ἑξῆμαρ μὲν ὁμῶς πλέομεν νύκτας τε καὶ ἦμαρ ἑβδομάτῃ δ’ ἱκόμεσθα Λάμου αἰπὺ πτολίεθρον Τηλέπυλον Λαιστρυγονίην ὅθι ποιμένα ποιμὴν ἠπύει εἰσελάων ὁ δέ τ’ ἐξελάων ὑπακούει,speech
ἔνθα κ’ ἄυπνος ἀνὴρ δοιοὺς ἐξήρατο μισθούς τὸν μὲν βουκολέων τὸν δ’ ἄργυφα μῆλα νομεύων,speech
ἐγγὺς γὰρ νυκτός τε καὶ ἤματός εἰσι κέλευθοι,speech
ἔνθ’ ἐπεὶ ἐς λιμένα κλυτὸν ἤλθομεν ὃν πέρι πέτρη ἠλίβατος τετύχηκε διαμπερὲς ἀμφοτέρωθεν ἀκταὶ δὲ προβλῆτες ἐναντίαι ἀλλήλῃσιν ἐν στόματι προύχουσιν ἀραιὴ δ’ εἴσοδός ἐστιν ἔνθ’ οἵ γ’ εἴσω πάντες ἔχον νέας ἀμφιελίσσας,speech
αἱ μὲν ἄρ’ ἔντοσθεν λιμένος κοίλοιο δέδεντο πλησίαι,speech
οὐ μὲν γάρ ποτ’ ἀέξετο κῦμά γ’ ἐν αὐτῷ οὔτε μέγ’ οὔτ’ ὀλίγον λευκὴ δ’ ἦν ἀμφὶ γαλήνη,speech
αὐτὰρ ἐγὼν οἶος σχέθον ἔξω νῆα μέλαιναν αὐτοῦ ἐπ’ ἐσχατιῇ πέτρης ἐκ πείσματα δήσας,speech
ἔστην δὲ σκοπιὴν ἐς παιπαλόεσσαν ἀνελθών,speech
ἔνθα μὲν οὔτε βοῶν οὔτ’ ἀνδρῶν φαίνετο ἔργα καπνὸν δ’ οἶον ὁρῶμεν ἀπὸ χθονὸς ἀίσσοντα,speech
δὴ τότ’ ἐγὼν ἑτάρους προΐειν πεύθεσθαι ἰόντας οἵ τινες ἀνέρες εἶεν ἐπὶ χθονὶ σῖτον ἔδοντες ἄνδρε δύω κρίνας τρίτατον κήρυχ’ ἅμ’ ὀπάσσας,speech
οἱ δ’ ἴσαν ἐκβάντες λείην ὁδόν ᾗ περ ἄμαξαι ἄστυδ’ ἀφ’ ὑψηλῶν ὀρέων καταγίνεον ὕλην κούρῃ δὲ ξύμβληντο πρὸ ἄστεος ὑδρευούσῃ θυγατέρ’ ἰφθίμῃ Λαιστρυγόνος Ἀντιφάταο,speech
ἡ μὲν ἄρ’ ἐς κρήνην κατεβήσετο καλλιρέεθρον Ἀρτακίην,speech
ἔνθεν γὰρ ὕδωρ προτὶ ἄστυ φέρεσκον,speech
οἱ δὲ παριστάμενοι προσεφώνεον ἔκ τ’ ἐρέοντο ὅς τις τῶνδ’ εἴη βασιλεὺς καὶ οἷσιν ἀνάσσοι,speech
ἡ δὲ μάλ’ αὐτίκα πατρὸς ἐπέφραδεν ὑψερεφὲς δῶ,speech
οἱ δ’ ἐπεὶ εἰσῆλθον κλυτὰ δώματα τὴν δὲ γυναῖκα εὗρον ὅσην τ’ ὄρεος κορυφήν κατὰ δ’ ἔστυγον αὐτήν,speech
ἡ δ’ αἶψ’ ἐξ ἀγορῆς ἐκάλει κλυτὸν Ἀντιφατῆα ὃν πόσιν ὃς δὴ τοῖσιν ἐμήσατο λυγρὸν ὄλεθρον,speech
αὐτίχ’ ἕνα μάρψας ἑτάρων ὡπλίσσατο δεῖπνον,speech
τὼ δὲ δύ’ ἀίξαντε φυγῇ ἐπὶ νῆας ἱκέσθην,speech
αὐτὰρ ὁ τεῦχε βοὴν διὰ ἄστεος,speech
οἱ δ’ ἀίοντες φοίτων ἴφθιμοι Λαιστρυγόνες ἄλλοθεν ἄλλος μυρίοι οὐκ ἄνδρεσσιν ἐοικότες ἀλλὰ Γίγασιν,speech
οἵ ῥ’ ἀπὸ πετράων ἀνδραχθέσι χερμαδίοισιν βάλλον,speech
ἄφαρ δὲ κακὸς κόναβος κατὰ νῆας ὀρώρει ἀνδρῶν τ’ ὀλλυμένων νηῶν θ’ ἅμα ἀγνυμενάων,speech
ἰχθῦς δ’ ὣς πείροντες ἀτερπέα δαῖτα φέροντο,speech
ὄφρ’ οἱ τοὺς ὄλεκον λιμένος πολυβενθέος ἐντός τόφρα δ’ ἐγὼ ξίφος ὀξὺ ἐρυσσάμενος παρὰ μηροῦ τῷ ἀπὸ πείσματ’ ἔκοψα νεὸς κυανοπρῴροιο,speech
αἶψα δ’ ἐμοῖς ἑτάροισιν ἐποτρύνας ἐκέλευσα ἐμβαλέειν κώπῃς ἵν’ ὑπὲκ κακότητα φύγοιμεν,speech
οἱ δ’ ἅλα πάντες ἀνέρριψαν δείσαντες ὄλεθρον,speech
ἀσπασίως δ’ ἐς πόντον ἐπηρεφέας φύγε πέτρας νηῦς ἐμή,speech
αὐτὰρ αἱ ἄλλαι ἀολλέες αὐτόθ’ ὄλοντο,speech
ἔνθεν δὲ προτέρω πλέομεν ἀκαχήμενοι ἦτορ ἄσμενοι ἐκ θανάτοιο φίλους ὀλέσαντες ἑταίρους,speech
Αἰαίην δ’ ἐς νῆσον ἀφικόμεθ’,speech
ἔνθα δ’ ἔναιε Κίρκη ἐυπλόκαμος δεινὴ θεὸς αὐδήεσσα αὐτοκασιγνήτη ὀλοόφρονος Αἰήταο,speech
ἄμφω δ’ ἐκγεγάτην φαεσιμβρότου Ἠελίοιο μητρός τ’ ἐκ Πέρσης τὴν Ὠκεανὸς τέκε παῖδα,speech
ἔνθα δ’ ἐπ’ ἀκτῆς νηὶ κατηγαγόμεσθα σιωπῇ ναύλοχον ἐς λιμένα καί τις θεὸς ἡγεμόνευεν,speech
ἔνθα τότ’ ἐκβάντες δύο τ’ ἤματα καὶ δύο νύκτας κείμεθ’ ὁμοῦ καμάτῳ τε καὶ ἄλγεσι θυμὸν ἔδοντες,speech
ἀλλ’ ὅτε δὴ τρίτον ἦμαρ ἐυπλόκαμος τέλεσ’ Ἠώς καὶ τότ’ ἐγὼν ἐμὸν ἔγχος ἑλὼν καὶ φάσγανον ὀξὺ καρπαλίμως παρὰ νηὸς ἀνήιον ἐς περιωπήν εἴ πως ἔργα ἴδοιμι βροτῶν ἐνοπήν τε πυθοίμην,speech
ἔστην δὲ σκοπιὴν ἐς παιπαλόεσσαν ἀνελθών καί μοι ἐείσατο καπνὸς ἀπὸ χθονὸς εὐρυοδείης Κίρκης ἐν μεγάροισι διὰ δρυμὰ πυκνὰ καὶ ὕλην,speech
μερμήριξα δ’ ἔπειτα κατὰ φρένα καὶ κατὰ θυμὸν ἐλθεῖν ἠδὲ πυθέσθαι ἐπεὶ ἴδον αἴθοπα καπνόν,speech
ὧδε δέ μοι φρονέοντι δοάσσατο κέρδιον εἶναι πρῶτ’ ἐλθόντ’ ἐπὶ νῆα θοὴν καὶ θῖνα θαλάσσης δεῖπνον ἑταίροισιν δόμεναι προέμεν τε πυθέσθαι,speech
ἀλλ’ ὅτε δὴ σχεδὸν ἦα κιὼν νεὸς ἀμφιελίσσης καὶ τότε τίς με θεῶν ὀλοφύρατο μοῦνον ἐόντα ὅς ῥά μοι ὑψίκερων ἔλαφον μέγαν εἰς ὁδὸν αὐτὴν ἧκεν,speech
ὁ μὲν ποταμόνδε κατήιεν ἐκ νομοῦ ὕλης πιόμενος,speech
δὴ γάρ μιν ἔχεν μένος ἠελίοιο,speech
τὸν δ’ ἐγὼ ἐκβαίνοντα κατ’ ἄκνηστιν μέσα νῶτα πλῆξα,speech
τὸ δ’ ἀντικρὺ δόρυ χάλκεον ἐξεπέρησε κὰδ δ’ ἔπεσ’ ἐν κονίῃσι μακών ἀπὸ δ’ ἔπτατο θυμός,speech
τῷ δ’ ἐγὼ ἐμβαίνων δόρυ χάλκεον ἐξ ὠτειλῆς εἰρυσάμην,speech
τὸ μὲν αὖθι κατακλίνας ἐπὶ γαίῃ εἴασ’,speech
αὐτὰρ ἐγὼ σπασάμην ῥῶπάς τε λύγους τε πεῖσμα δ’ ὅσον τ’ ὄργυιαν ἐυστρεφὲς ἀμφοτέρωθεν πλεξάμενος συνέδησα πόδας δεινοῖο πελώρου βῆν δὲ καταλοφάδεια φέρων ἐπὶ νῆα μέλαιναν ἔγχει ἐρειδόμενος ἐπεὶ οὔ πως ἦεν ἐπ’ ὤμου χειρὶ φέρειν ἑτέρῃ,speech
μάλα γὰρ μέγα θηρίον ἦεν,speech
κὰδ’ δ’ ἔβαλον προπάροιθε νεός ἀνέγειρα δ’ ἑταίρους μειλιχίοις ἐπέεσσι παρασταδὸν ἄνδρα ἕκαστον,speech
ὦ φίλοι οὐ γάρ πω καταδυσόμεθ’ ἀχνύμενοί περ εἰς Ἀίδαο δόμους πρὶν μόρσιμον ἦμαρ ἐπέλθῃ,speech
ἀλλ’ ἄγετ’ ὄφρ’ ἐν νηὶ θοῇ βρῶσίς τε πόσις τε μνησόμεθα βρώμης μηδὲ τρυχώμεθα λιμῷ,speech
ὣς ἐφάμην οἱ δ’ ὦκα ἐμοῖς ἐπέεσσι πίθοντο ἐκ δὲ καλυψάμενοι παρὰ θῖν’ ἁλὸς ἀτρυγέτοιο θηήσαντ’ ἔλαφον,speech
μάλα γὰρ μέγα θηρίον ἦεν,speech
αὐτὰρ ἐπεὶ τάρπησαν ὁρώμενοι ὀφθαλμοῖσιν χεῖρας νιψάμενοι τεύχοντ’ ἐρικυδέα δαῖτα,speech
ὣς τότε μὲν πρόπαν ἦμαρ ἐς ἠέλιον καταδύντα ἥμεθα δαινύμενοι κρέα τ’ ἄσπετα καὶ μέθυ ἡδύ,speech
ἦμος δ’ ἠέλιος κατέδυ καὶ ἐπὶ κνέφας ἦλθε δὴ τότε κοιμήθημεν ἐπὶ ῥηγμῖνι θαλάσσης,speech
ἦμος δ’ ἠριγένεια φάνη ῥοδοδάκτυλος Ἠώς καὶ τότ’ ἐγὼν ἀγορὴν θέμενος μετὰ πᾶσιν ἔειπον,speech
κέκλυτέ μευ μύθων κακά περ πάσχοντες ἑταῖροι,speech
ὦ φίλοι οὐ γάρ τ’ ἴδμεν ὅπῃ ζόφος οὐδ’ ὅπῃ ἠώς οὐδ’ ὅπῃ ἠέλιος φαεσίμβροτος εἶσ’ ὑπὸ γαῖαν οὐδ’ ὅπῃ ἀννεῖται,speech
ἀλλὰ φραζώμεθα θᾶσσον εἴ τις ἔτ’ ἔσται μῆτις,speech
ἐγὼ δ’ οὔκ οἴομαι εἶναι,speech
εἶδον γὰρ σκοπιὴν ἐς παιπαλόεσσαν ἀνελθὼν νῆσον τὴν πέρι πόντος ἀπείριτος ἐστεφάνωται,speech
αὐτὴ δὲ χθαμαλὴ κεῖται,speech
καπνὸν δ’ ἐνὶ μέσσῃ ἔδρακον ὀφθαλμοῖσι διὰ δρυμὰ πυκνὰ καὶ ὕλην,speech
ὣς ἐφάμην τοῖσιν δὲ κατεκλάσθη φίλον ἦτορ μνησαμένοις ἔργων Λαιστρυγόνος Ἀντιφάταο Κύκλωπός τε βίης μεγαλήτορος ἀνδροφάγοιο,speech
κλαῖον δὲ λιγέως θαλερὸν κατὰ δάκρυ χέοντες,speech
ἀλλ’ οὐ γάρ τις πρῆξις ἐγίγνετο μυρομένοισιν,speech
